,Year,Year__c
5870,0,
5874,0,
5877,0,
5878,0,
5880,0,
5881,0,
5883,0,
5884,0,
5887,0,
5890,0,
5891,0,
5894,0,
5897,0,
5898,0,
5900,0,
5901,0,
5902,0,
5903,0,
5904,0,
5906,0,
5907,0,
5909,0,
5911,0,
5914,0,
5916,0,
5917,0,
5920,0,
5921,0,
5922,0,
5923,0,
5925,0,
5926,0,
5928,0,
5929,0,
5931,0,
5932,0,
5933,0,
5936,0,
5937,0,
5939,0,
5940,0,
5941,0,
5944,0,
5945,0,
5947,0,
5950,0,
5951,0,
5952,0,
5954,0,
5955,0,
5962,0,
5964,0,
5965,0,
5968,0,
5969,0,
5970,0,
5971,0,
5973,0,
5974,0,
5975,0,
5976,0,
5977,0,
5978,0,
5979,0,
5980,0,
5983,0,
5984,0,
5985,0,
5986,0,
5987,0,
5988,0,
5989,0,
5991,0,
